"id","album_id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"6lMhpfb2JbJL7Xjemn5ER9","5cCA9ErhDo9sjGR4y4CY47","157360","139.817","4","10","1","0.792","0.217","0.298","0.441","0.0698","-10.451","0.0346","0.126","https://api.spotify.com/v1/audio-analysis/6lMhpfb2JbJL7Xjemn5ER9","https://api.spotify.com/v1/tracks/6lMhpfb2JbJL7Xjemn5ER9"
"79AdjWgkgMnwbSiArpBj4g","5cCA9ErhDo9sjGR4y4CY47","275640","139.871","4","0","1","0.335","0.387","0.567","0.261","0.0859","-8.295","0.0307","0.267","https://api.spotify.com/v1/audio-analysis/79AdjWgkgMnwbSiArpBj4g","https://api.spotify.com/v1/tracks/79AdjWgkgMnwbSiArpBj4g"
"44cY8BHyP2BlJfwzo6Hp9L","5cCA9ErhDo9sjGR4y4CY47","169560","174.247","4","7","0","0.695","0.52","0.874","0.879","0.346","-7.431","0.0431","0.0997","https://api.spotify.com/v1/audio-analysis/44cY8BHyP2BlJfwzo6Hp9L","https://api.spotify.com/v1/tracks/44cY8BHyP2BlJfwzo6Hp9L"
"2m7ea981AHpzlrwwMkuq6T","5cCA9ErhDo9sjGR4y4CY47","138840","130.8","5","2","1","0.329","0.943","0.609","0.624","0.0747","-7.556","0.0325","0.677","https://api.spotify.com/v1/audio-analysis/2m7ea981AHpzlrwwMkuq6T","https://api.spotify.com/v1/tracks/2m7ea981AHpzlrwwMkuq6T"
"02TFmpkkH3BBcjAgtNgDQq","5cCA9ErhDo9sjGR4y4CY47","148200","160.188","4","8","1","0.252","0.462","0.669","0.94","0.593","-7.625","0.0373","0.491","https://api.spotify.com/v1/audio-analysis/02TFmpkkH3BBcjAgtNgDQq","https://api.spotify.com/v1/tracks/02TFmpkkH3BBcjAgtNgDQq"
"40uoPscX2Y98JEagkwsrUR","5cCA9ErhDo9sjGR4y4CY47","39760","137.605","4","0","1","0.666","0.754","0.834","0.987","0.129","-10.812","0.0578","0.999","https://api.spotify.com/v1/audio-analysis/40uoPscX2Y98JEagkwsrUR","https://api.spotify.com/v1/tracks/40uoPscX2Y98JEagkwsrUR"
"2ZConNMwnBOu2ltDIZG7Mh","5cCA9ErhDo9sjGR4y4CY47","112573","66.389","5","10","0","0.979","0.261","0.118","0.939","0.104","-15.53","0.0326","0.176","https://api.spotify.com/v1/audio-analysis/2ZConNMwnBOu2ltDIZG7Mh","https://api.spotify.com/v1/tracks/2ZConNMwnBOu2ltDIZG7Mh"
"7atR0Pr7klqKyhE8oHQ7Ak","5cCA9ErhDo9sjGR4y4CY47","125560","117.263","4","7","1","0.034","0.905","0.476","0.428","0.102","-9.787","0.0531","0.881","https://api.spotify.com/v1/audio-analysis/7atR0Pr7klqKyhE8oHQ7Ak","https://api.spotify.com/v1/tracks/7atR0Pr7klqKyhE8oHQ7Ak"
"63m9dYeOrthhD5cFNY3VTk","5cCA9ErhDo9sjGR4y4CY47","147000","112.813","4","2","0","0.404","0.883","0.563","0.109","0.132","-7.051","0.0691","0.94","https://api.spotify.com/v1/audio-analysis/63m9dYeOrthhD5cFNY3VTk","https://api.spotify.com/v1/tracks/63m9dYeOrthhD5cFNY3VTk"
"6TK5hpcmuqncZBLBhnXLuz","5cCA9ErhDo9sjGR4y4CY47","98107","124.095","4","7","1","0.701","0.848","0.443","0.863","0.125","-5.823","0.0967","0.524","https://api.spotify.com/v1/audio-analysis/6TK5hpcmuqncZBLBhnXLuz","https://api.spotify.com/v1/tracks/6TK5hpcmuqncZBLBhnXLuz"
"2lVNKGf30bbOO7vMOG3GPO","5cCA9ErhDo9sjGR4y4CY47","160560","146.493","5","10","1","0.142","0.37","0.299","0.358","0.114","-9.339","0.0801","0.435","https://api.spotify.com/v1/audio-analysis/2lVNKGf30bbOO7vMOG3GPO","https://api.spotify.com/v1/tracks/2lVNKGf30bbOO7vMOG3GPO"
"3s95YXa6LoymiiP4AmhgX1","5cCA9ErhDo9sjGR4y4CY47","85840","115.094","3","2","1","0.00594","0.812","0.921","0.951","0.0419","-16.931","0.107","0.543","https://api.spotify.com/v1/audio-analysis/3s95YXa6LoymiiP4AmhgX1","https://api.spotify.com/v1/tracks/3s95YXa6LoymiiP4AmhgX1"
"7srDJVcHwtZxJaADHRbHWc","5cCA9ErhDo9sjGR4y4CY47","143293","135.256","4","2","0","0.974","0.53","0.216","0.859","0.0728","-8.649","0.0308","0.662","https://api.spotify.com/v1/audio-analysis/7srDJVcHwtZxJaADHRbHWc","https://api.spotify.com/v1/tracks/7srDJVcHwtZxJaADHRbHWc"
"1Zqyzg4LwXVh2dXrgKL4Jv","5cCA9ErhDo9sjGR4y4CY47","183133","110.582","4","2","1","0.0042","0.649","0.654","0.132","0.109","-7.507","0.0421","0.664","https://api.spotify.com/v1/audio-analysis/1Zqyzg4LwXVh2dXrgKL4Jv","https://api.spotify.com/v1/tracks/1Zqyzg4LwXVh2dXrgKL4Jv"
"3aflCtKcWfry52H5bqmPLe","5cCA9ErhDo9sjGR4y4CY47","160933","155.54","5","3","1","0.789","0.601","0.327","0.589","0.237","-10.711","0.0366","0.824","https://api.spotify.com/v1/audio-analysis/3aflCtKcWfry52H5bqmPLe","https://api.spotify.com/v1/tracks/3aflCtKcWfry52H5bqmPLe"
"0S1aH2MpgPit1QLYu1GDKo","5cCA9ErhDo9sjGR4y4CY47","232173","172.627","3","5","1","0.79","0.331","0.38","0.86","0.105","-17.199","0.0386","0.065","https://api.spotify.com/v1/audio-analysis/0S1aH2MpgPit1QLYu1GDKo","https://api.spotify.com/v1/tracks/0S1aH2MpgPit1QLYu1GDKo"
"7HhhimzHfrya25MLrQ7C0j","5cCA9ErhDo9sjGR4y4CY47","134560","164.624","1","1","1","0.861","0.8","0.888","0.847","0.352","-11.482","0.0678","0.574","https://api.spotify.com/v1/audio-analysis/7HhhimzHfrya25MLrQ7C0j","https://api.spotify.com/v1/tracks/7HhhimzHfrya25MLrQ7C0j"
"47E6ITmPp5GiZJojHmvqvm","5cCA9ErhDo9sjGR4y4CY47","192667","139.762","3","4","1","0.862","0.577","0.258","0.733","0.134","-10.604","0.0328","0.398","https://api.spotify.com/v1/audio-analysis/47E6ITmPp5GiZJojHmvqvm","https://api.spotify.com/v1/tracks/47E6ITmPp5GiZJojHmvqvm"
"4grsnJOMVwrrcbKUACuLWs","5cCA9ErhDo9sjGR4y4CY47","178640","72.874","4","2","1","0.857","0.283","0.325","0.977","0.13","-9.931","0.0301","0.29","https://api.spotify.com/v1/audio-analysis/4grsnJOMVwrrcbKUACuLWs","https://api.spotify.com/v1/tracks/4grsnJOMVwrrcbKUACuLWs"
"1XEnJOxj3JJcSY8PreODkB","5cCA9ErhDo9sjGR4y4CY47","193360","96.792","4","1","1","0.115","0.574","0.738","0.836","0.12","-11.039","0.0434","0.278","https://api.spotify.com/v1/audio-analysis/1XEnJOxj3JJcSY8PreODkB","https://api.spotify.com/v1/tracks/1XEnJOxj3JJcSY8PreODkB"
"6DPtgSyhZbVd8GRuE6vtLS","5cCA9ErhDo9sjGR4y4CY47","138173","146.259","4","1","1","0.369","0.551","0.745","0.911","0.61","-6.373","0.0329","0.761","https://api.spotify.com/v1/audio-analysis/6DPtgSyhZbVd8GRuE6vtLS","https://api.spotify.com/v1/tracks/6DPtgSyhZbVd8GRuE6vtLS"
"7y8Hna1yjLtUZMySFvckef","5cCA9ErhDo9sjGR4y4CY47","154560","79.289","3","5","0","0.482","0.0745","0.34","0.914","0.0791","-8.834","0.0367","0.0384","https://api.spotify.com/v1/audio-analysis/7y8Hna1yjLtUZMySFvckef","https://api.spotify.com/v1/tracks/7y8Hna1yjLtUZMySFvckef"
"7tvuA2rumNDU6lo36en2wR","5cCA9ErhDo9sjGR4y4CY47","217640","126.376","4","2","0","0.806","0.589","0.403","0.0116","0.177","-7.143","0.0362","0.0997","https://api.spotify.com/v1/audio-analysis/7tvuA2rumNDU6lo36en2wR","https://api.spotify.com/v1/tracks/7tvuA2rumNDU6lo36en2wR"
"5sfVqfiCADKUlwn5iBrm5K","5cCA9ErhDo9sjGR4y4CY47","17093","58.794","4","6","1","0.023","0.364","0.597","0.947","0.343","-19.449","0.117","0.483","https://api.spotify.com/v1/audio-analysis/5sfVqfiCADKUlwn5iBrm5K","https://api.spotify.com/v1/tracks/5sfVqfiCADKUlwn5iBrm5K"
"6nYoki6uMJTHoRunKKp8On","5cCA9ErhDo9sjGR4y4CY47","104200","219.642","3","11","1","0.798","0.686","0.651","0.907","0.086","-9.365","0.0827","0.683","https://api.spotify.com/v1/audio-analysis/6nYoki6uMJTHoRunKKp8On","https://api.spotify.com/v1/tracks/6nYoki6uMJTHoRunKKp8On"
"5YP3cW1HkfnxsMwVAfimkm","5cCA9ErhDo9sjGR4y4CY47","51333","143.356","4","2","0","0.174","0.201","0.527","2.41e-06","0.356","-8.901","0.0356","0.302","https://api.spotify.com/v1/audio-analysis/5YP3cW1HkfnxsMwVAfimkm","https://api.spotify.com/v1/tracks/5YP3cW1HkfnxsMwVAfimkm"
"69ka4kpEZdKSwt4crTeKhU","5cCA9ErhDo9sjGR4y4CY47","18600","109.648","1","10","0","0.00825","0.321","0.367","0.982","0.202","-26.127","0.112","0.271","https://api.spotify.com/v1/audio-analysis/69ka4kpEZdKSwt4crTeKhU","https://api.spotify.com/v1/tracks/69ka4kpEZdKSwt4crTeKhU"
"6Wb0RG7Er1D3m7QaTPFZXg","5cCA9ErhDo9sjGR4y4CY47","131133","72.056","4","2","1","0.907","0.123","0.43","0.849","0.625","-9.221","0.0323","0.0396","https://api.spotify.com/v1/audio-analysis/6Wb0RG7Er1D3m7QaTPFZXg","https://api.spotify.com/v1/tracks/6Wb0RG7Er1D3m7QaTPFZXg"
"6koGlnnjIQvvORsqPok0UO","5cCA9ErhDo9sjGR4y4CY47","293400","76.302","3","9","1","0.971","0.227","0.108","0.953","0.109","-13.647","0.0368","0.25","https://api.spotify.com/v1/audio-analysis/6koGlnnjIQvvORsqPok0UO","https://api.spotify.com/v1/tracks/6koGlnnjIQvvORsqPok0UO"
"50Mixk2ScE8fRv4E3TY2Aa","5cCA9ErhDo9sjGR4y4CY47","188933","130.886","4","2","1","0.607","0.694","0.298","0.000383","0.146","-8.41","0.0371","0.558","https://api.spotify.com/v1/audio-analysis/50Mixk2ScE8fRv4E3TY2Aa","https://api.spotify.com/v1/tracks/50Mixk2ScE8fRv4E3TY2Aa"
"7GPAtp3ubVjcr0Fc6IGERe","5cCA9ErhDo9sjGR4y4CY47","231467","101.352","4","0","1","0.315","0.831","0.415","0.947","0.0928","-7.244","0.0431","0.119","https://api.spotify.com/v1/audio-analysis/7GPAtp3ubVjcr0Fc6IGERe","https://api.spotify.com/v1/tracks/7GPAtp3ubVjcr0Fc6IGERe"
"2oswrZtJoQmZZnJ9xS0qFg","5cCA9ErhDo9sjGR4y4CY47","110493","92.492","4","10","1","0.239","0.81","0.339","0.909","0.137","-9.565","0.0586","0.805","https://api.spotify.com/v1/audio-analysis/2oswrZtJoQmZZnJ9xS0qFg","https://api.spotify.com/v1/tracks/2oswrZtJoQmZZnJ9xS0qFg"
"0KvjTPx9hVS1gjdvRwwpjX","5cCA9ErhDo9sjGR4y4CY47","201707","153.117","3","6","1","0.554","0.451","0.351","0.878","0.274","-9.362","0.0314","0.38","https://api.spotify.com/v1/audio-analysis/0KvjTPx9hVS1gjdvRwwpjX","https://api.spotify.com/v1/tracks/0KvjTPx9hVS1gjdvRwwpjX"
"6ZcnBtG8euX05xsHpcLS2o","5cCA9ErhDo9sjGR4y4CY47","272093","135.654","4","10","1","0.78","0.189","0.238","0.954","0.0934","-11.065","0.031","0.0732","https://api.spotify.com/v1/audio-analysis/6ZcnBtG8euX05xsHpcLS2o","https://api.spotify.com/v1/tracks/6ZcnBtG8euX05xsHpcLS2o"
"6m3iPzNik0TuMjvIPdCg0K","5cCA9ErhDo9sjGR4y4CY47","169800","92.576","4","11","1","0.127","0.486","0.55","0.877","0.11","-14.214","0.0482","0.0358","https://api.spotify.com/v1/audio-analysis/6m3iPzNik0TuMjvIPdCg0K","https://api.spotify.com/v1/tracks/6m3iPzNik0TuMjvIPdCg0K"
"0Txw0okj375c0b2dDvPHz1","5cCA9ErhDo9sjGR4y4CY47","93333","198.342","4","7","0","0.141","0.501","0.881","0.932","0.551","-6.982","0.0481","0.755","https://api.spotify.com/v1/audio-analysis/0Txw0okj375c0b2dDvPHz1","https://api.spotify.com/v1/tracks/0Txw0okj375c0b2dDvPHz1"
"2DInl5B5kXcGWBGduEWVni","5cCA9ErhDo9sjGR4y4CY47","181373","78.232","5","10","1","0.595","0.12","0.236","0.867","0.119","-7.662","0.0344","0.0786","https://api.spotify.com/v1/audio-analysis/2DInl5B5kXcGWBGduEWVni","https://api.spotify.com/v1/tracks/2DInl5B5kXcGWBGduEWVni"
"17yGJ6JdtXZ11zR4MoRZKh","5cCA9ErhDo9sjGR4y4CY47","150867","117.308","4","6","1","0.249","0.87","0.597","0.795","0.143","-8.108","0.0581","0.847","https://api.spotify.com/v1/audio-analysis/17yGJ6JdtXZ11zR4MoRZKh","https://api.spotify.com/v1/tracks/17yGJ6JdtXZ11zR4MoRZKh"
"7noQDf9EqFhKzHYpEQKbEX","5cCA9ErhDo9sjGR4y4CY47","211733","126.299","4","9","1","0.0126","0.98","0.484","0.926","0.0798","-8.371","0.053","0.973","https://api.spotify.com/v1/audio-analysis/7noQDf9EqFhKzHYpEQKbEX","https://api.spotify.com/v1/tracks/7noQDf9EqFhKzHYpEQKbEX"
"2Vi4iGPLnCfMrFfyf7W4tM","5cCA9ErhDo9sjGR4y4CY47","27667","112.37","3","0","0","0.557","0.168","0.227","0.649","0.25","-7.693","0.0445","0.142","https://api.spotify.com/v1/audio-analysis/2Vi4iGPLnCfMrFfyf7W4tM","https://api.spotify.com/v1/tracks/2Vi4iGPLnCfMrFfyf7W4tM"
"2WUaHyN21G1tX9cEpVFEMc","5cCA9ErhDo9sjGR4y4CY47","165693","81.226","4","7","0","0.0681","0.128","0.461","0.0182","0.203","-7.801","0.0342","0.34","https://api.spotify.com/v1/audio-analysis/2WUaHyN21G1tX9cEpVFEMc","https://api.spotify.com/v1/tracks/2WUaHyN21G1tX9cEpVFEMc"
"5yOf2WMgLmakpzzpmg7f7J","5cCA9ErhDo9sjGR4y4CY47","168067","74.275","4","7","0","0.9","0.218","0.267","0.942","0.16","-11.043","0.0341","0.086","https://api.spotify.com/v1/audio-analysis/5yOf2WMgLmakpzzpmg7f7J","https://api.spotify.com/v1/tracks/5yOf2WMgLmakpzzpmg7f7J"
"3qaysmOwviasiBO8Bjyb27","5cCA9ErhDo9sjGR4y4CY47","153373","112.734","4","3","1","0.469","0.727","0.288","0.551","0.577","-11.088","0.0335","0.277","https://api.spotify.com/v1/audio-analysis/3qaysmOwviasiBO8Bjyb27","https://api.spotify.com/v1/tracks/3qaysmOwviasiBO8Bjyb27"
"0HNJHU5JBZfSnAwuHTcthY","5cCA9ErhDo9sjGR4y4CY47","224800","139.835","4","5","1","0.923","0.309","0.189","0.924","0.108","-10.066","0.0346","0.176","https://api.spotify.com/v1/audio-analysis/0HNJHU5JBZfSnAwuHTcthY","https://api.spotify.com/v1/tracks/0HNJHU5JBZfSnAwuHTcthY"
"43VjI28gVy5jSZMTRyL7n1","5cCA9ErhDo9sjGR4y4CY47","176160","99.215","4","5","1","0.656","0.675","0.384","0.842","0.0407","-10.009","0.0257","0.417","https://api.spotify.com/v1/audio-analysis/43VjI28gVy5jSZMTRyL7n1","https://api.spotify.com/v1/tracks/43VjI28gVy5jSZMTRyL7n1"
"3mN3enfcPJwPA1SfqCTVAh","5cCA9ErhDo9sjGR4y4CY47","218333","94.796","3","2","1","0.893","0.615","0.368","0.91","0.119","-8.497","0.0295","0.52","https://api.spotify.com/v1/audio-analysis/3mN3enfcPJwPA1SfqCTVAh","https://api.spotify.com/v1/tracks/3mN3enfcPJwPA1SfqCTVAh"
"2MmaGw1ORjg98AosOryNBI","5cCA9ErhDo9sjGR4y4CY47","238200","63.66","3","11","0","0.771","0.109","0.163","0.933","0.109","-13.819","0.0384","0.0477","https://api.spotify.com/v1/audio-analysis/2MmaGw1ORjg98AosOryNBI","https://api.spotify.com/v1/tracks/2MmaGw1ORjg98AosOryNBI"
