"id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"6mmNRZ2wzFzTNfHtcgyIIg","166933","151.108","4","3","1","0.922","0.372","0.37","0.782","0.118","-16.141","0.0383","0.471","https://api.spotify.com/v1/audio-analysis/6mmNRZ2wzFzTNfHtcgyIIg","https://api.spotify.com/v1/tracks/6mmNRZ2wzFzTNfHtcgyIIg"
"4u1YicONHkmqAvlVby2K0x","103960","145.228","3","7","1","0.889","0.496","0.471","0.496","0.379","-9.973","0.0303","0.831","https://api.spotify.com/v1/audio-analysis/4u1YicONHkmqAvlVby2K0x","https://api.spotify.com/v1/tracks/4u1YicONHkmqAvlVby2K0x"
"5GaQ9VUwlO1XMDF9RCfHc8","95107","94.744","4","7","1","0.826","0.631","0.57","0.966","0.135","-7.129","0.029","0.894","https://api.spotify.com/v1/audio-analysis/5GaQ9VUwlO1XMDF9RCfHc8","https://api.spotify.com/v1/tracks/5GaQ9VUwlO1XMDF9RCfHc8"
"20tSjRKGLbmeEw4yFF24dh","203560","121.813","3","7","0","0.855","0.654","0.282","0.887","0.137","-12.303","0.0327","0.579","https://api.spotify.com/v1/audio-analysis/20tSjRKGLbmeEw4yFF24dh","https://api.spotify.com/v1/tracks/20tSjRKGLbmeEw4yFF24dh"
"05U8a68fdXuxlQkCCm41YQ","166573","121.78","4","7","1","0.528","0.359","0.393","0.0192","0.194","-8.876","0.0353","0.565","https://api.spotify.com/v1/audio-analysis/05U8a68fdXuxlQkCCm41YQ","https://api.spotify.com/v1/tracks/05U8a68fdXuxlQkCCm41YQ"
"3aowKm81YGl7O7r1P0NFoz","33467","142.146","4","7","1","0.765","0.904","0.605","0","0.0918","-9.774","0.298","0.924","https://api.spotify.com/v1/audio-analysis/3aowKm81YGl7O7r1P0NFoz","https://api.spotify.com/v1/tracks/3aowKm81YGl7O7r1P0NFoz"
"6FDgYvSuMdCcRCXuhkVbFr","14933","0","0","0","1","0.911","0","0.69","0.00703","0.107","-7.713","0","0","https://api.spotify.com/v1/audio-analysis/6FDgYvSuMdCcRCXuhkVbFr","https://api.spotify.com/v1/tracks/6FDgYvSuMdCcRCXuhkVbFr"
"46oGF5us7pSQqBUpx0Hc32","94627","189.488","4","9","1","0.259","0.69","0.392","0.274","0.127","-9.645","0.0774","0.969","https://api.spotify.com/v1/audio-analysis/46oGF5us7pSQqBUpx0Hc32","https://api.spotify.com/v1/tracks/46oGF5us7pSQqBUpx0Hc32"
"08DKd3H9gM8AqaGyk405q5","101267","180.53","4","0","1","0.00853","0.39","0.438","0.0105","0.452","-9.536","0.0366","0.915","https://api.spotify.com/v1/audio-analysis/08DKd3H9gM8AqaGyk405q5","https://api.spotify.com/v1/tracks/08DKd3H9gM8AqaGyk405q5"
"5Kjv1V6262ArlDbv82wUL7","56733","174.901","4","5","1","5.57e-06","0.35","0.663","0.924","0.389","-8.962","0.038","0.0408","https://api.spotify.com/v1/audio-analysis/5Kjv1V6262ArlDbv82wUL7","https://api.spotify.com/v1/tracks/5Kjv1V6262ArlDbv82wUL7"
"1Gn4kHfK9z35kJGk1OIl5Q","110933","99.186","4","7","1","0.25","0.604","0.577","0.328","0.172","-7.715","0.0301","0.971","https://api.spotify.com/v1/audio-analysis/1Gn4kHfK9z35kJGk1OIl5Q","https://api.spotify.com/v1/tracks/1Gn4kHfK9z35kJGk1OIl5Q"
