"id","album_id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"24lVIYwtLw9AU3ySz7UVjZ","2bZlVti3G35TXHANYliIUF","89987","138.028","4","7","1","0.00154","0.515","0.275","0.048","0.0556","-11.219","0.0282","0.153","https://api.spotify.com/v1/audio-analysis/24lVIYwtLw9AU3ySz7UVjZ","https://api.spotify.com/v1/tracks/24lVIYwtLw9AU3ySz7UVjZ"
"0VSsFfhdnjwcWczajf4Nuv","2bZlVti3G35TXHANYliIUF","149293","84.189","4","5","0","0.898","0.213","0.273","0.981","0.0918","-13.878","0.0311","0.0785","https://api.spotify.com/v1/audio-analysis/0VSsFfhdnjwcWczajf4Nuv","https://api.spotify.com/v1/tracks/0VSsFfhdnjwcWczajf4Nuv"
"3AB3Qc4VGcu5kyNtP3pjXp","2bZlVti3G35TXHANYliIUF","103227","83.197","1","8","1","0.888","0.296","0.147","0.88","0.0957","-13.098","0.0336","0.061","https://api.spotify.com/v1/audio-analysis/3AB3Qc4VGcu5kyNtP3pjXp","https://api.spotify.com/v1/tracks/3AB3Qc4VGcu5kyNtP3pjXp"
"2l6HxFgboWl8wKA4B7huF1","2bZlVti3G35TXHANYliIUF","82613","107.246","4","6","1","0.797","0.332","0.274","0.924","0.157","-13.443","0.0293","0.0393","https://api.spotify.com/v1/audio-analysis/2l6HxFgboWl8wKA4B7huF1","https://api.spotify.com/v1/tracks/2l6HxFgboWl8wKA4B7huF1"
"66Pa5pYqxbEMZh1iJjNgIN","2bZlVti3G35TXHANYliIUF","103387","169.854","3","2","0","0.293","0.36","0.373","0.813","0.134","-13.792","0.0271","0.436","https://api.spotify.com/v1/audio-analysis/66Pa5pYqxbEMZh1iJjNgIN","https://api.spotify.com/v1/tracks/66Pa5pYqxbEMZh1iJjNgIN"
"2kSglH5D412cwx72Na64aG","2bZlVti3G35TXHANYliIUF","118680","74.452","3","0","0","0.956","0.367","0.0962","0.728","0.103","-16.63","0.0357","0.135","https://api.spotify.com/v1/audio-analysis/2kSglH5D412cwx72Na64aG","https://api.spotify.com/v1/tracks/2kSglH5D412cwx72Na64aG"
"5zQRTA4IJSGR30u7bCf1ov","2bZlVti3G35TXHANYliIUF","82680","146.918","4","7","0","0.0063","0.417","0.449","0.748","0.0655","-10.436","0.0312","0.425","https://api.spotify.com/v1/audio-analysis/5zQRTA4IJSGR30u7bCf1ov","https://api.spotify.com/v1/tracks/5zQRTA4IJSGR30u7bCf1ov"
"1Lt8fZn9RkvftJ59wgQ8R6","2bZlVti3G35TXHANYliIUF","82293","74.491","3","5","1","0.796","0.205","0.142","0.911","0.186","-13.04","0.0434","0.0351","https://api.spotify.com/v1/audio-analysis/1Lt8fZn9RkvftJ59wgQ8R6","https://api.spotify.com/v1/tracks/1Lt8fZn9RkvftJ59wgQ8R6"
"1aFsu6ZjVs89gL1qf7ZjCR","2bZlVti3G35TXHANYliIUF","96373","179.635","4","0","0","0.203","0.24","0.506","0.425","0.575","-9.892","0.0419","0.811","https://api.spotify.com/v1/audio-analysis/1aFsu6ZjVs89gL1qf7ZjCR","https://api.spotify.com/v1/tracks/1aFsu6ZjVs89gL1qf7ZjCR"
"5lsdLOznuiMWwdFwu1eiQM","2bZlVti3G35TXHANYliIUF","95080","82.938","5","3","0","0.927","0.124","0.328","0.913","0.111","-13.038","0.044","0.0694","https://api.spotify.com/v1/audio-analysis/5lsdLOznuiMWwdFwu1eiQM","https://api.spotify.com/v1/tracks/5lsdLOznuiMWwdFwu1eiQM"
"4KX7N3aptt2MZqWQHoB3wU","2bZlVti3G35TXHANYliIUF","88453","62.391","3","7","1","0.84","0.247","0.121","0.923","0.154","-14.548","0.0357","0.0397","https://api.spotify.com/v1/audio-analysis/4KX7N3aptt2MZqWQHoB3wU","https://api.spotify.com/v1/tracks/4KX7N3aptt2MZqWQHoB3wU"
"1ClK14ljQsGsZ6djonDKNu","2bZlVti3G35TXHANYliIUF","127707","104.962","4","2","0","0.484","0.509","0.304","0.166","0.106","-15.058","0.032","0.402","https://api.spotify.com/v1/audio-analysis/1ClK14ljQsGsZ6djonDKNu","https://api.spotify.com/v1/tracks/1ClK14ljQsGsZ6djonDKNu"
"2KidkwciO86V7DNoPr0dXb","2bZlVti3G35TXHANYliIUF","101920","72.987","4","8","1","0.889","0.073","0.3","0.865","0.32","-10.703","0.0303","0.0871","https://api.spotify.com/v1/audio-analysis/2KidkwciO86V7DNoPr0dXb","https://api.spotify.com/v1/tracks/2KidkwciO86V7DNoPr0dXb"
"68sWhLmQ9E4Zl5QmAw3tV4","2bZlVti3G35TXHANYliIUF","62400","170.068","3","5","1","0.0495","0.369","0.34","4.5e-06","0.456","-13.674","0.0742","0.306","https://api.spotify.com/v1/audio-analysis/68sWhLmQ9E4Zl5QmAw3tV4","https://api.spotify.com/v1/tracks/68sWhLmQ9E4Zl5QmAw3tV4"
"4l2P65ULGY5lA3Ve0htIfP","2bZlVti3G35TXHANYliIUF","90067","167.108","3","10","1","0.134","0.41","0.522","0.00511","0.397","-11.545","0.0373","0.757","https://api.spotify.com/v1/audio-analysis/4l2P65ULGY5lA3Ve0htIfP","https://api.spotify.com/v1/tracks/4l2P65ULGY5lA3Ve0htIfP"
"71utMOiDy7zlz5w2udRLZ7","2bZlVti3G35TXHANYliIUF","164107","114.955","4","4","1","0.0202","0.506","0.474","0.763","0.336","-7.24","0.0319","0.373","https://api.spotify.com/v1/audio-analysis/71utMOiDy7zlz5w2udRLZ7","https://api.spotify.com/v1/tracks/71utMOiDy7zlz5w2udRLZ7"
"3xoWidGjaVPkfSWvK70OoG","2bZlVti3G35TXHANYliIUF","135613","153.161","4","0","1","0.083","0.228","0.528","0.498","0.112","-7.745","0.0506","0.274","https://api.spotify.com/v1/audio-analysis/3xoWidGjaVPkfSWvK70OoG","https://api.spotify.com/v1/tracks/3xoWidGjaVPkfSWvK70OoG"
"0aG4C9ZxvPB5MppcVzITjt","2bZlVti3G35TXHANYliIUF","36587","133.914","4","4","1","0.0651","0.459","0.639","0.91","0.476","-9.065","0.0348","0.225","https://api.spotify.com/v1/audio-analysis/0aG4C9ZxvPB5MppcVzITjt","https://api.spotify.com/v1/tracks/0aG4C9ZxvPB5MppcVzITjt"
"5cKFBjwl4gmnk168YhgDFU","2bZlVti3G35TXHANYliIUF","119440","99.956","4","7","1","0.328","0.498","0.665","0.746","0.375","-10.559","0.0418","0.618","https://api.spotify.com/v1/audio-analysis/5cKFBjwl4gmnk168YhgDFU","https://api.spotify.com/v1/tracks/5cKFBjwl4gmnk168YhgDFU"
"67lXC1QKKNKTYnOAe45ok0","2bZlVti3G35TXHANYliIUF","100040","174.116","3","9","1","0.149","0.504","0.568","0.000194","0.432","-8.606","0.0902","0.491","https://api.spotify.com/v1/audio-analysis/67lXC1QKKNKTYnOAe45ok0","https://api.spotify.com/v1/tracks/67lXC1QKKNKTYnOAe45ok0"
"27SZvOFUHsWu0ax3FDf6WA","2bZlVti3G35TXHANYliIUF","128280","115.962","5","9","0","0.0111","0.689","0.651","0.835","0.34","-10.586","0.0274","0.466","https://api.spotify.com/v1/audio-analysis/27SZvOFUHsWu0ax3FDf6WA","https://api.spotify.com/v1/tracks/27SZvOFUHsWu0ax3FDf6WA"
