"id","album_id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"1XsJvVV8Uy0Scg1PhI9Jq6","0CvxwMIrf6nWyTH0d7Syz1","249053","105.981","4","9","0","0.195","0.444","0.668","0.00274","0.661","-5.417","0.0314","0.608","https://api.spotify.com/v1/audio-analysis/1XsJvVV8Uy0Scg1PhI9Jq6","https://api.spotify.com/v1/tracks/1XsJvVV8Uy0Scg1PhI9Jq6"
"4Xx79HXyJXett6rdjq4K2c","0CvxwMIrf6nWyTH0d7Syz1","187560","110.012","3","2","1","0.601","0.627","0.916","0.0443","0.175","-5.708","0.0289","0.961","https://api.spotify.com/v1/audio-analysis/4Xx79HXyJXett6rdjq4K2c","https://api.spotify.com/v1/tracks/4Xx79HXyJXett6rdjq4K2c"
"5ZSok98MYgPC4Ge7xeItuo","0CvxwMIrf6nWyTH0d7Syz1","210360","187.919","4","8","0","0.37","0.473","0.353","0.198","0.0687","-9.557","0.0382","0.479","https://api.spotify.com/v1/audio-analysis/5ZSok98MYgPC4Ge7xeItuo","https://api.spotify.com/v1/tracks/5ZSok98MYgPC4Ge7xeItuo"
"3qJZJkNDplhYuQ2ZQB5ky4","0CvxwMIrf6nWyTH0d7Syz1","167107","85.793","5","4","0","0.0247","0.344","0.733","0.471","0.566","-5.302","0.0376","0.317","https://api.spotify.com/v1/audio-analysis/3qJZJkNDplhYuQ2ZQB5ky4","https://api.spotify.com/v1/tracks/3qJZJkNDplhYuQ2ZQB5ky4"
"45pAJgSB0vx2lrYsaKB8lW","0CvxwMIrf6nWyTH0d7Syz1","44400","137.953","4","4","0","0.0741","0.544","0.666","0.000105","0.38","-6.248","0.0402","0.786","https://api.spotify.com/v1/audio-analysis/45pAJgSB0vx2lrYsaKB8lW","https://api.spotify.com/v1/tracks/45pAJgSB0vx2lrYsaKB8lW"
"0Y471Evj3KvFzcX7jkeSzi","0CvxwMIrf6nWyTH0d7Syz1","63333","109.995","3","1","1","0.433","0.51","0.217","0.0258","0.124","-7.345","0.0307","0.265","https://api.spotify.com/v1/audio-analysis/0Y471Evj3KvFzcX7jkeSzi","https://api.spotify.com/v1/tracks/0Y471Evj3KvFzcX7jkeSzi"
"6MOhoAz4nXMODlICkQEl8T","0CvxwMIrf6nWyTH0d7Syz1","170507","158.034","4","9","0","0.000308","0.399","0.98","0.853","0.178","-5.758","0.0651","0.754","https://api.spotify.com/v1/audio-analysis/6MOhoAz4nXMODlICkQEl8T","https://api.spotify.com/v1/tracks/6MOhoAz4nXMODlICkQEl8T"
"0n4W9E7jtNdJwdZuaubQFm","0CvxwMIrf6nWyTH0d7Syz1","195600","164.984","3","2","1","0.234","0.532","0.697","0.546","0.272","-6.97","0.0326","0.757","https://api.spotify.com/v1/audio-analysis/0n4W9E7jtNdJwdZuaubQFm","https://api.spotify.com/v1/tracks/0n4W9E7jtNdJwdZuaubQFm"
"3ttPSCqEREpTLNOh4gMvzw","0CvxwMIrf6nWyTH0d7Syz1","172600","160.254","5","2","1","0.552","0.253","0.451","0.287","0.124","-8.596","0.0305","0.535","https://api.spotify.com/v1/audio-analysis/3ttPSCqEREpTLNOh4gMvzw","https://api.spotify.com/v1/tracks/3ttPSCqEREpTLNOh4gMvzw"
"0vAz7U2PuEDpqxipzHV2Gf","0CvxwMIrf6nWyTH0d7Syz1","163333","110.0","4","11","0","0.0512","0.724","0.857","0.959","0.233","-6.301","0.0362","0.97","https://api.spotify.com/v1/audio-analysis/0vAz7U2PuEDpqxipzHV2Gf","https://api.spotify.com/v1/tracks/0vAz7U2PuEDpqxipzHV2Gf"
