"id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"23f2B0Xa3K5W3TfPsu10Ms","157293","136.023","3","0","1","0.828","0.517","0.13","0.677","0.0885","-13.455","0.03","0.153","https://api.spotify.com/v1/audio-analysis/23f2B0Xa3K5W3TfPsu10Ms","https://api.spotify.com/v1/tracks/23f2B0Xa3K5W3TfPsu10Ms"
"1H4Agz0GO4LNaaZgDY6XPH","150813","139.979","4","2","0","0.567","0.487","0.434","0.613","0.103","-10.293","0.0328","0.237","https://api.spotify.com/v1/audio-analysis/1H4Agz0GO4LNaaZgDY6XPH","https://api.spotify.com/v1/tracks/1H4Agz0GO4LNaaZgDY6XPH"
"5Co7k0YJngXmzcQUHZxPI2","212493","107.428","1","2","1","0.0375","0.446","0.476","0.0839","0.216","-9.869","0.0277","0.391","https://api.spotify.com/v1/audio-analysis/5Co7k0YJngXmzcQUHZxPI2","https://api.spotify.com/v1/tracks/5Co7k0YJngXmzcQUHZxPI2"
"3HoBz2GF6MtdSvwlmyrs4F","214293","149.775","4","3","1","0.959","0.576","0.239","0.0299","0.382","-14.495","0.0428","0.435","https://api.spotify.com/v1/audio-analysis/3HoBz2GF6MtdSvwlmyrs4F","https://api.spotify.com/v1/tracks/3HoBz2GF6MtdSvwlmyrs4F"
"6nwclB0bJqmRGL7aqQoivN","194133","138.058","4","0","1","0.22","0.523","0.609","0.813","0.126","-10.572","0.0286","0.421","https://api.spotify.com/v1/audio-analysis/6nwclB0bJqmRGL7aqQoivN","https://api.spotify.com/v1/tracks/6nwclB0bJqmRGL7aqQoivN"
"0s5k7dy6v9R3owYGvySciM","189693","155.061","3","6","0","0.441","0.331","0.73","0.437","0.204","-9.359","0.0627","0.33","https://api.spotify.com/v1/audio-analysis/0s5k7dy6v9R3owYGvySciM","https://api.spotify.com/v1/tracks/0s5k7dy6v9R3owYGvySciM"
"5rkUkPZcr0qqtCT1JeV2oM","162093","140.115","4","6","1","0.00934","0.555","0.873","0.59","0.106","-7.331","0.0369","0.545","https://api.spotify.com/v1/audio-analysis/5rkUkPZcr0qqtCT1JeV2oM","https://api.spotify.com/v1/tracks/5rkUkPZcr0qqtCT1JeV2oM"
"66sKHqM8n9LP0IUNp8SlN7","44493","139.769","4","4","1","0.495","0.562","0.563","0.433","0.13","-9.032","0.0304","0.98","https://api.spotify.com/v1/audio-analysis/66sKHqM8n9LP0IUNp8SlN7","https://api.spotify.com/v1/tracks/66sKHqM8n9LP0IUNp8SlN7"
"6hDQqMRSSXId45OisJcfsh","48093","139.996","4","6","1","0.198","0.355","0.603","0.272","0.114","-8.526","0.0432","0.108","https://api.spotify.com/v1/audio-analysis/6hDQqMRSSXId45OisJcfsh","https://api.spotify.com/v1/tracks/6hDQqMRSSXId45OisJcfsh"
"7pdPd6r5a462aBO7SzgQs7","194133","112.018","3","2","1","0.64","0.566","0.471","0.727","0.475","-10.136","0.0299","0.748","https://api.spotify.com/v1/audio-analysis/7pdPd6r5a462aBO7SzgQs7","https://api.spotify.com/v1/tracks/7pdPd6r5a462aBO7SzgQs7"
