"id","album_id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"6lMhpfb2JbJL7Xjemn5ER9","5cCA9ErhDo9sjGR4y4CY47","JPM201801685","プロローグ ~オープニングBGM(序章・戦い・哀しみ・幻想水滸伝IIのテーマ)","10","157360","1","1","https://open.spotify.com/track/6lMhpfb2JbJL7Xjemn5ER9","https://p.scdn.co/mp3-preview/4c8733e41db306e53a8927488841c5b25513d81f?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6lMhpfb2JbJL7Xjemn5ER9"
"79AdjWgkgMnwbSiArpBj4g","5cCA9ErhDo9sjGR4y4CY47","JPM201801686","プロローグ ~名前入力画面BGM","4","275640","1","2","https://open.spotify.com/track/79AdjWgkgMnwbSiArpBj4g","https://p.scdn.co/mp3-preview/558374dc8675cecc691f5f29413299add9d86ce5?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/79AdjWgkgMnwbSiArpBj4g"
"44cY8BHyP2BlJfwzo6Hp9L","5cCA9ErhDo9sjGR4y4CY47","JPM201801687","第1章「始まり」 ~敵襲(イベント「敵襲」より)","4","169560","1","3","https://open.spotify.com/track/44cY8BHyP2BlJfwzo6Hp9L","https://p.scdn.co/mp3-preview/069ed3f75d7bf4fb35d0105dea92177fb6fc4cde?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/44cY8BHyP2BlJfwzo6Hp9L"
"2m7ea981AHpzlrwwMkuq6T","5cCA9ErhDo9sjGR4y4CY47","JPM201801688","第1章「始まり」 ~疑惑(イベント「敵襲」より)","4","138840","1","4","https://open.spotify.com/track/2m7ea981AHpzlrwwMkuq6T","https://p.scdn.co/mp3-preview/f7d9be514b68e5f848e105c9eb24adc89d59d7b7?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2m7ea981AHpzlrwwMkuq6T"
"02TFmpkkH3BBcjAgtNgDQq","5cCA9ErhDo9sjGR4y4CY47","JPM201801689","第1章「始まり」 ~勝利への意欲(通常戦闘BGM)","6","148200","1","5","https://open.spotify.com/track/02TFmpkkH3BBcjAgtNgDQq","https://p.scdn.co/mp3-preview/42880cb900abf95a5a1692bbda851fe067d329c2?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/02TFmpkkH3BBcjAgtNgDQq"
"40uoPscX2Y98JEagkwsrUR","5cCA9ErhDo9sjGR4y4CY47","JPM201801690","第1章「始まり」 ~結果(戦闘勝利BGM)","3","39760","1","6","https://open.spotify.com/track/40uoPscX2Y98JEagkwsrUR","https://p.scdn.co/mp3-preview/8e99a7f289e826cc769999f4b844d644b742ce77?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/40uoPscX2Y98JEagkwsrUR"
"2ZConNMwnBOu2ltDIZG7Mh","5cCA9ErhDo9sjGR4y4CY47","JPM201801691","第1章「始まり」 ~回想(オープニングスタッフロールBGM)","18","112573","1","7","https://open.spotify.com/track/2ZConNMwnBOu2ltDIZG7Mh","https://p.scdn.co/mp3-preview/94dbe7df929101b887c2036a402cfc7e7be57fd8?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2ZConNMwnBOu2ltDIZG7Mh"
"7atR0Pr7klqKyhE8oHQ7Ak","5cCA9ErhDo9sjGR4y4CY47","JPM201801692","第2章「砦からの脱出」 ~働かざる者食うべからず(ビクトールの砦BGM)","5","125560","1","8","https://open.spotify.com/track/7atR0Pr7klqKyhE8oHQ7Ak","https://p.scdn.co/mp3-preview/99e310fdf12eb2c35efdc13c0c06049a62c957f6?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/7atR0Pr7klqKyhE8oHQ7Ak"
"63m9dYeOrthhD5cFNY3VTk","5cCA9ErhDo9sjGR4y4CY47","JPM201801693","第2章「砦からの脱出」 ~最初のお仕事(イベント「ビクトールの砦」より)","3","147000","1","9","https://open.spotify.com/track/63m9dYeOrthhD5cFNY3VTk","https://p.scdn.co/mp3-preview/2beb1ae1174cfd0fb1028f23d59c97b6fdc664ed?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/63m9dYeOrthhD5cFNY3VTk"
"6TK5hpcmuqncZBLBhnXLuz","5cCA9ErhDo9sjGR4y4CY47","JPM201801694","第2章「砦からの脱出」 ~次なるお仕事(イベント「ビクトールの砦」より)","3","98106","1","10","https://open.spotify.com/track/6TK5hpcmuqncZBLBhnXLuz","https://p.scdn.co/mp3-preview/3b66e75530fb8c7c61273e1e6df096d7149b482b?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6TK5hpcmuqncZBLBhnXLuz"
