"id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"6mmNRZ2wzFzTNfHtcgyIIg","JPM201801732","第10章「トゥーリヴァー」 ~さざ波に運ばれて(レイクウェストBGM)","3","166933","1","1","https://open.spotify.com/track/6mmNRZ2wzFzTNfHtcgyIIg","https://p.scdn.co/mp3-preview/c4da3c36cb5b5719a2e4f6980e0ba2cf0af06153?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6mmNRZ2wzFzTNfHtcgyIIg"
"4u1YicONHkmqAvlVby2K0x","JPM201801733","第10章「トゥーリヴァー」 ~毎日がカーニバル(トゥーリヴァーBGM)","2","103960","1","2","https://open.spotify.com/track/4u1YicONHkmqAvlVby2K0x","https://p.scdn.co/mp3-preview/bc8602e2819083b0649c6f1a85f4865a17953926?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/4u1YicONHkmqAvlVby2K0x"
"5GaQ9VUwlO1XMDF9RCfHc8","JPM201801734","第10章「トゥーリヴァー」 ~ウィ・アー・ザ・ナンバー・ワン!(コボルトの村BGM)","2","95106","1","3","https://open.spotify.com/track/5GaQ9VUwlO1XMDF9RCfHc8","https://p.scdn.co/mp3-preview/b4ca4c2caa6e7378d978f6adbb26d09b0a56fedf?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5GaQ9VUwlO1XMDF9RCfHc8"
"20tSjRKGLbmeEw4yFF24dh","JPM201801735","第10章「トゥーリヴァー」 ~2つの川(ウィングホード居住区BGM)","2","203560","1","4","https://open.spotify.com/track/20tSjRKGLbmeEw4yFF24dh","https://p.scdn.co/mp3-preview/59fcde8e4fe07e29625a7f19a1ddc8ae8e45e10d?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/20tSjRKGLbmeEw4yFF24dh"
"05U8a68fdXuxlQkCCm41YQ","JPM201801736","第11章「本拠地」 ~賑わいの街(本拠地BGM2)","5","166573","1","5","https://open.spotify.com/track/05U8a68fdXuxlQkCCm41YQ","https://p.scdn.co/mp3-preview/290c9e8788a0dcd0b12c38c4b9646bbb6b4c7389?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/05U8a68fdXuxlQkCCm41YQ"
"3aowKm81YGl7O7r1P0NFoz","JPM201801737","第11章「本拠地」 ~ドレミのようせいのうた(ドレミダンスBGM)","1","33466","1","6","https://open.spotify.com/track/3aowKm81YGl7O7r1P0NFoz","https://p.scdn.co/mp3-preview/3c4aec14b8fd33c8d98004d9f7fa1d5267ec5cca?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3aowKm81YGl7O7r1P0NFoz"
"6FDgYvSuMdCcRCXuhkVbFr","JPM201801738","第11章「本拠地」 ~ドレミのようせいのうた(バトルモード)","0","14933","1","7","https://open.spotify.com/track/6FDgYvSuMdCcRCXuhkVbFr","https://p.scdn.co/mp3-preview/312df10f71ae92f71ea8387ad436584db8c117f6?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6FDgYvSuMdCcRCXuhkVbFr"
"46oGF5us7pSQqBUpx0Hc32","JPM201801739","第11章「本拠地」 ~ある晴れた日に(展望台BGM)","1","94626","1","8","https://open.spotify.com/track/46oGF5us7pSQqBUpx0Hc32","https://p.scdn.co/mp3-preview/789a57debc7980ed72a146313b984ebae72af211?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/46oGF5us7pSQqBUpx0Hc32"
"08DKd3H9gM8AqaGyk405q5","JPM201801740","第11章「本拠地」 ~海は広いな(ミニゲーム1「釣り」BGM 通常モード)","1","101266","1","9","https://open.spotify.com/track/08DKd3H9gM8AqaGyk405q5","https://p.scdn.co/mp3-preview/cb513285c4061dd4dab747cebed07fcfc148e24c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/08DKd3H9gM8AqaGyk405q5"
"5Kjv1V6262ArlDbv82wUL7","JPM201801741","第11章「本拠地」 ~一本勝負(ミニゲーム1「釣り」BGM バトルモード)","1","56733","1","10","https://open.spotify.com/track/5Kjv1V6262ArlDbv82wUL7","https://p.scdn.co/mp3-preview/1ab21be5eb618f351db33ec22b5c3925825349bd?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5Kjv1V6262ArlDbv82wUL7"
