"id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"1nAkAes5ds2MCoxIj9cW4S","JPM200500460","新たなる旅立ち ~始まりのテーマ~","0","86493","1","1","https://open.spotify.com/track/1nAkAes5ds2MCoxIj9cW4S","https://p.scdn.co/mp3-preview/45856857a5e7b25ebf94164cc3251fb83c473aeb?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1nAkAes5ds2MCoxIj9cW4S"
"2m1v5XwiSVgSuu52AnyyHM","JPM200500461","出航","2","81866","1","2","https://open.spotify.com/track/2m1v5XwiSVgSuu52AnyyHM","https://p.scdn.co/mp3-preview/1778e10ebd171159a0f1b4dd22d7447d1c9bad02?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2m1v5XwiSVgSuu52AnyyHM"
"0TrmPuxY1KsWZgriXC76x6","JPM200500462","上陸","1","82733","1","3","https://open.spotify.com/track/0TrmPuxY1KsWZgriXC76x6","https://p.scdn.co/mp3-preview/c2dfbe108d8dedd54f265c0794eb0a0f5032ea6f?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0TrmPuxY1KsWZgriXC76x6"
"2izv6yYAnKX9Qj70pGuUTR","JPM200500463","突入1","0","7906","1","4","https://open.spotify.com/track/2izv6yYAnKX9Qj70pGuUTR","https://p.scdn.co/mp3-preview/9dfa57fcd316d44645cbf9c9dc032adf6fdf6e17?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2izv6yYAnKX9Qj70pGuUTR"
"372YyOo1RbA8XzE9B0Q0Ki","JPM200500464","戦闘","4","65826","1","5","https://open.spotify.com/track/372YyOo1RbA8XzE9B0Q0Ki","https://p.scdn.co/mp3-preview/252e79c59e7882eed750f5527e415cd18c976819?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/372YyOo1RbA8XzE9B0Q0Ki"
"08IAK3YyBBWVRSLV9Ar1Mc","JPM200500465","勝利のテーマ","1","55573","1","6","https://open.spotify.com/track/08IAK3YyBBWVRSLV9Ar1Mc","https://p.scdn.co/mp3-preview/b131f888f2471f2e7c20761248b970c694df198c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/08IAK3YyBBWVRSLV9Ar1Mc"
"4A7q8YcxBWyM9M52rX4gf0","JPM200500466","騎士の習い","0","82893","1","7","https://open.spotify.com/track/4A7q8YcxBWyM9M52rX4gf0","https://p.scdn.co/mp3-preview/6c37becaa80bd1b55b147bde3cd24420bda42a90?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/4A7q8YcxBWyM9M52rX4gf0"
"2Hb5DuNqpdqjoP5nder4nr","JPM200500467","祭りの夜","0","95800","1","8","https://open.spotify.com/track/2Hb5DuNqpdqjoP5nder4nr","https://p.scdn.co/mp3-preview/e579d29d674cc15b83c7d0fd586b590a5d7be882?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2Hb5DuNqpdqjoP5nder4nr"
"5TUj0poAFzzx6zInhJjadA","JPM200500468","愁いの舟行","0","120173","1","9","https://open.spotify.com/track/5TUj0poAFzzx6zInhJjadA","https://p.scdn.co/mp3-preview/6c64e02e8aafb7a6d604e3238cb3dc7a847275c3?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5TUj0poAFzzx6zInhJjadA"
"0wAsVh1RPKANLDkGNn7zVT","JPM200500469","巻返し","0","87466","1","10","https://open.spotify.com/track/0wAsVh1RPKANLDkGNn7zVT","https://p.scdn.co/mp3-preview/a30b780d4162d1b79f9616e06e67cc649afa122c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0wAsVh1RPKANLDkGNn7zVT"
"5eGXg5vaSrixqy7eFzPWEq","JPM200500470","大海原の戦1","0","87600","1","11","https://open.spotify.com/track/5eGXg5vaSrixqy7eFzPWEq","https://p.scdn.co/mp3-preview/2a97bfa5754b38ddc3f7241b950c7d0e5ef75cb9?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5eGXg5vaSrixqy7eFzPWEq"
"1ZahLBXKmrYYn43fM2eKqJ","JPM200500471","静かな島で","0","99866","1","12","https://open.spotify.com/track/1ZahLBXKmrYYn43fM2eKqJ","https://p.scdn.co/mp3-preview/555bc417598e0d49693f7cb1a8774f3d252eb070?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1ZahLBXKmrYYn43fM2eKqJ"
"1jWvTZChaHbgN6XQdvrjl1","JPM200500472","話の続き","0","45000","1","13","https://open.spotify.com/track/1jWvTZChaHbgN6XQdvrjl1","https://p.scdn.co/mp3-preview/e8f6f3f2fee3fd52b744b8450ddf7a416b74e747?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1jWvTZChaHbgN6XQdvrjl1"
"0nmBjLZmKvoSGidouWcpmX","JPM200500473","無人島の夜","0","96560","1","14","https://open.spotify.com/track/0nmBjLZmKvoSGidouWcpmX","https://p.scdn.co/mp3-preview/2ebd9269012e061d2662b312ee5a5fbb0c0a85e0?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0nmBjLZmKvoSGidouWcpmX"
"3waulQ1smo0IOUbpD1Dpwy","JPM200500474","潮騒の残響","0","67706","1","15","https://open.spotify.com/track/3waulQ1smo0IOUbpD1Dpwy","https://p.scdn.co/mp3-preview/176007dbf8a4ca6fad207f7039507ecc28624cb2?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3waulQ1smo0IOUbpD1Dpwy"
"2eDQVsNOduLWEcZAGf35q8","JPM200500475","突入2","0","11693","1","16","https://open.spotify.com/track/2eDQVsNOduLWEcZAGf35q8","https://p.scdn.co/mp3-preview/87ae84b9412e3c3692b8c3427d70afddc9f9eb2d?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2eDQVsNOduLWEcZAGf35q8"
"0c0XJEWztjyZMNVXARmLSS","JPM200500476","強敵出現","2","81440","1","17","https://open.spotify.com/track/0c0XJEWztjyZMNVXARmLSS","https://p.scdn.co/mp3-preview/431e2adfd43bbc3263d86ce18a8ef2a479b233e0?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0c0XJEWztjyZMNVXARmLSS"
"2R8uk983Ryux6KBzEWRwY2","JPM200500477","波頭をかき分けて","0","92493","1","18","https://open.spotify.com/track/2R8uk983Ryux6KBzEWRwY2","https://p.scdn.co/mp3-preview/e7cbdf6c216ba328018d47dcfaf7e805b48ac34c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2R8uk983Ryux6KBzEWRwY2"
"0oKNWJYy2p53ij0acLfnrd","JPM200500478","アジトのテーマ","0","112573","1","19","https://open.spotify.com/track/0oKNWJYy2p53ij0acLfnrd","https://p.scdn.co/mp3-preview/cc672563f17aa53266819ec43cefbb04dd4e1269?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0oKNWJYy2p53ij0acLfnrd"
