"アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","プロローグ ~幻想の世界へ(タイトルBGM)","https://open.spotify.com/track/09R5Mt1iaTIi3hbgSBQEYw","1","1","6","111960","135.918","4","7","1","0.417","0.302","0.58","0.97","0.302","-10.9","0.0408","0.177"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","プロローグ ~始まりのテーマ(名前入力画面BGMほか)","https://open.spotify.com/track/0NpSRjiqcrTZUfZVjgbDBP","1","2","2","76440","137.952","4","0","1","0.000133","0.507","0.469","0.582","0.126","-14.829","0.0318","0.342"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~王宮の調べ(グレッグミンスター城BGM)","https://open.spotify.com/track/0V8Gv3MkN3j21HAF0pKGZH","1","3","1","162627","127.421","4","2","1","0.603","0.409","0.18","0.553","0.24","-15.431","0.0338","0.357"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~帝国よ永遠に(イベント「皇帝謁見」)","https://open.spotify.com/track/4jF9xL9OGTStCVZAyfR79X","1","4","1","140307","76.329","3","0","1","0.056","0.127","0.16","0.604","0.0923","-16.842","0.0303","0.121"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~美しき黄金の都(グレッグミンスターBGM)","https://open.spotify.com/track/0HNvZDLu2sKAykuaIKuwOH","1","5","4","129800","167.953","3","8","1","0.0538","0.52","0.592","0.835","0.213","-11.058","0.0406","0.849"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~メインテーマアレンジ~ギター編(イベント「おうちに帰ろう」より)","https://open.spotify.com/track/7Ie83Rv8cZfHLhBNqWfdc8","1","6","4","122360","165.879","4","2","1","0.604","0.443","0.325","0.0153","0.147","-12.992","0.0344","0.205"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~飛べ!ブラック(イベント「ブラック飛行」より)","https://open.spotify.com/track/4EiBbyPkRl1lzjlJ8kVFuD","1","7","0","29907","131.601","4","11","1","0.804","0.28","0.487","0.935","0.153","-11.239","0.0375","0.117"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~黒い森(レックナートの屋敷BGM)","https://open.spotify.com/track/0XtRFbGXTrWr5NJG8pzxB6","1","8","1","166827","131.423","4","4","0","0.414","0.441","0.423","0.943","0.447","-12.79","0.0306","0.285"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~感動のテーマ(イベント「レックナートのお告げ」より)","https://open.spotify.com/track/2KdvtI4lSXJjzXvvPkbYwi","1","9","2","122973","86.934","1","3","1","0.00208","0.0913","0.247","0.743","0.298","-17.251","0.0386","0.0332"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~大草原の小さなキャラ(フィールドBGM1)","https://open.spotify.com/track/0lfkXjQvvZbrLzouRXjHfH","1","10","1","114160","119.67","4","10","1","0.243","0.519","0.497","0.855","0.408","-11.59","0.0383","0.789"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~遙かなる山(山BGM)","https://open.spotify.com/track/5VUrh1Xea7smGmo63s178m","1","11","2","134840","100.015","4","5","0","0.01","0.683","0.61","0.853","0.111","-14.052","0.0496","0.803"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~Penpe(ダンジョンBGM2)","https://open.spotify.com/track/5uFshJvSKZriLbTQQA82t3","1","12","1","96533","114.611","4","1","1","0.672","0.686","0.403","0.616","0.0898","-15.685","0.0441","0.119"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~魔物たちとの対決(戦闘BGM)","https://open.spotify.com/track/2LaVXtRxGMyamgSGqX5WzB","1","13","4","139000","73.283","3","5","0","0.00402","0.341","0.533","0.0729","0.3","-14.76","0.0419","0.641"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~勝利のテーマ(戦闘勝利BGM)","https://open.spotify.com/track/4igcp6GL0qckhYSyOh56fx","1","14","0","25293","39.82","4","4","1","0.213","0.295","0.598","0.499","0.366","-11.818","0.0382","0.287"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第3章「崩壊」 ~ロックロックランド(レナンカンプ・ロックランドBGM)","https://open.spotify.com/track/3W6JNk8gSgYA1z2Ve7TBN9","1","15","2","84200","141.225","4","2","1","0.0101","0.446","0.467","0.832","0.105","-12.63","0.0348","0.307"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第3章「崩壊」 ~緊迫のテーマ~アンサンブル編(イベント「解放軍アジト襲撃」より)","https://open.spotify.com/track/6QXwS0TeJehGQdRDnIcfmB","1","16","1","43973","157.88","5","0","1","0.822","0.537","0.495","0.797","0.2","-22.558","0.047","0.976"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第3章「崩壊」 ~悲しみのテーマ~アンサンブル編(イベント「オデッサの死」より)","https://open.spotify.com/track/4RiqF6Nusj1wmSNMgi9CCe","1","17","1","106293","71.108","4","9","1","0.937","0.214","0.27","0.921","0.528","-12.983","0.0346","0.14"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~悠久の流れ(セイカ・カク・コウアンの村BGM)","https://open.spotify.com/track/4fYF3ZOWzJc436yoQS8sxI","1","18","2","171507","77.647","4","8","1","0.195","0.181","0.317","0.864","0.0959","-11.851","0.0318","0.254"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~Joy Joy Time(サブゲームBGM)","https://open.spotify.com/track/1gCQTVvKO8mMRO4EPC7Z19","1","19","1","84333","146.854","4","7","1","0.0626","0.531","0.665","0.938","0.23","-12.546","0.0508","0.802"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~侵入(ダンジョンBGM1)","https://open.spotify.com/track/2Xc1Ha0QNkyiKfMcRIfFno","1","20","0","118693","115.666","4","6","1","0.196","0.72","0.301","0.046","0.215","-18.025","0.0409","0.212"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~神秘の森(エルフの村BGM)","https://open.spotify.com/track/09GOb0PMfbwpwRhm8rjGrs","1","21","2","109773","70.994","3","9","1","0.876","0.138","0.149","0.965","0.144","-11.726","0.0364","0.155"
