"id","アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"1","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","プロローグ ~幻想の世界へ(タイトルBGM)","https://open.spotify.com/track/09R5Mt1iaTIi3hbgSBQEYw","1","1","6","111960","135.918","4","7","1","0.417","0.302","0.58","0.97","0.302","-10.9","0.0408","0.177"
"2","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","プロローグ ~始まりのテーマ(名前入力画面BGMほか)","https://open.spotify.com/track/0NpSRjiqcrTZUfZVjgbDBP","1","2","2","76440","137.952","4","0","1","0.000133","0.507","0.469","0.582","0.126","-14.829","0.0318","0.342"
"3","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~王宮の調べ(グレッグミンスター城BGM)","https://open.spotify.com/track/0V8Gv3MkN3j21HAF0pKGZH","1","3","1","162627","127.421","4","2","1","0.603","0.409","0.18","0.553","0.24","-15.431","0.0338","0.357"
"4","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~帝国よ永遠に(イベント「皇帝謁見」)","https://open.spotify.com/track/4jF9xL9OGTStCVZAyfR79X","1","4","1","140307","76.329","3","0","1","0.056","0.127","0.16","0.604","0.0923","-16.842","0.0303","0.121"
"5","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~美しき黄金の都(グレッグミンスターBGM)","https://open.spotify.com/track/0HNvZDLu2sKAykuaIKuwOH","1","5","4","129800","167.953","3","8","1","0.0538","0.52","0.592","0.835","0.213","-11.058","0.0406","0.849"
"6","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第1章「謁見」 ~メインテーマアレンジ~ギター編(イベント「おうちに帰ろう」より)","https://open.spotify.com/track/7Ie83Rv8cZfHLhBNqWfdc8","1","6","4","122360","165.879","4","2","1","0.604","0.443","0.325","0.0153","0.147","-12.992","0.0344","0.205"
"7","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~飛べ!ブラック(イベント「ブラック飛行」より)","https://open.spotify.com/track/4EiBbyPkRl1lzjlJ8kVFuD","1","7","0","29907","131.601","4","11","1","0.804","0.28","0.487","0.935","0.153","-11.239","0.0375","0.117"
"8","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~黒い森(レックナートの屋敷BGM)","https://open.spotify.com/track/0XtRFbGXTrWr5NJG8pzxB6","1","8","1","166827","131.423","4","4","0","0.414","0.441","0.423","0.943","0.447","-12.79","0.0306","0.285"
"9","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~感動のテーマ(イベント「レックナートのお告げ」より)","https://open.spotify.com/track/2KdvtI4lSXJjzXvvPkbYwi","1","9","2","122973","86.934","1","3","1","0.00208","0.0913","0.247","0.743","0.298","-17.251","0.0386","0.0332"
"10","幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第2章「初仕事」 ~大草原の小さなキャラ(フィールドBGM1)","https://open.spotify.com/track/0lfkXjQvvZbrLzouRXjHfH","1","10","1","114160","119.67","4","10","1","0.243","0.519","0.497","0.855","0.408","-11.59","0.0383","0.789"
