"アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","プロローグ ~オープニングBGM(序章・戦い・哀しみ・幻想水滸伝IIのテーマ)","https://open.spotify.com/track/6lMhpfb2JbJL7Xjemn5ER9","1","1","10","157360","139.817","4","10","1","0.792","0.217","0.298","0.441","0.0698","-10.451","0.0346","0.126"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","プロローグ ~名前入力画面BGM","https://open.spotify.com/track/79AdjWgkgMnwbSiArpBj4g","1","2","4","275640","139.871","4","0","1","0.335","0.387","0.567","0.261","0.0859","-8.295","0.0307","0.267"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~敵襲(イベント「敵襲」より)","https://open.spotify.com/track/44cY8BHyP2BlJfwzo6Hp9L","1","3","3","169560","174.247","4","7","0","0.695","0.52","0.874","0.879","0.346","-7.431","0.0431","0.0997"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~疑惑(イベント「敵襲」より)","https://open.spotify.com/track/2m7ea981AHpzlrwwMkuq6T","1","4","4","138840","130.8","5","2","1","0.329","0.943","0.609","0.624","0.0747","-7.556","0.0325","0.677"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~勝利への意欲(通常戦闘BGM)","https://open.spotify.com/track/02TFmpkkH3BBcjAgtNgDQq","1","5","6","148200","160.188","4","8","1","0.252","0.462","0.669","0.94","0.593","-7.625","0.0373","0.491"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~結果(戦闘勝利BGM)","https://open.spotify.com/track/40uoPscX2Y98JEagkwsrUR","1","6","3","39760","137.605","4","0","1","0.666","0.754","0.834","0.987","0.129","-10.812","0.0578","0.999"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~回想(オープニングスタッフロールBGM)","https://open.spotify.com/track/2ZConNMwnBOu2ltDIZG7Mh","1","7","18","112573","66.389","5","10","0","0.979","0.261","0.118","0.939","0.104","-15.53","0.0326","0.176"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~働かざる者食うべからず(ビクトールの砦BGM)","https://open.spotify.com/track/7atR0Pr7klqKyhE8oHQ7Ak","1","8","5","125560","117.263","4","7","1","0.034","0.905","0.476","0.428","0.102","-9.787","0.0531","0.881"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~最初のお仕事(イベント「ビクトールの砦」より)","https://open.spotify.com/track/63m9dYeOrthhD5cFNY3VTk","1","9","3","147000","112.813","4","2","0","0.404","0.883","0.563","0.109","0.132","-7.051","0.0691","0.94"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~次なるお仕事(イベント「ビクトールの砦」より)","https://open.spotify.com/track/6TK5hpcmuqncZBLBhnXLuz","1","10","3","98107","124.095","4","7","1","0.701","0.848","0.443","0.863","0.125","-5.823","0.0967","0.524"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~ニンジン、食べるかい?(イベント「脱出」より)","https://open.spotify.com/track/2lVNKGf30bbOO7vMOG3GPO","1","11","3","160560","146.493","5","10","1","0.142","0.37","0.299","0.358","0.114","-9.339","0.0801","0.435"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~逃亡(イベント「脱出」より)","https://open.spotify.com/track/3s95YXa6LoymiiP4AmhgX1","1","12","2","85840","115.094","3","2","1","0.00594","0.812","0.921","0.951","0.0419","-16.931","0.107","0.543"
