"アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","丘から吹く風","https://open.spotify.com/track/6sQHdsH7qdoZkvypUl1tUv","1","1","2","57333","128.872","3","5","1","0.226","0.284","0.512","0.624","0.281","-12.596","0.0537","0.038"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","風と大地","https://open.spotify.com/track/3hQbccn1RMDMLPFqJqLvcS","1","2","3","203133","150.104","3","7","1","0.482","0.601","0.532","0.836","0.126","-10.869","0.0305","0.673"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","旅立ち","https://open.spotify.com/track/1VoygbBfAgXt7cj89tE8IV","1","3","3","112707","129.109","4","5","1","0.299","0.491","0.547","0.843","0.148","-11.305","0.0298","0.734"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","橋上の街","https://open.spotify.com/track/1LxEg0a3QVIAHrMfmAv8mD","1","4","2","133733","137.974","4","8","0","0.901","0.86","0.524","0.113","0.0763","-13.126","0.0875","0.678"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","緊迫1","https://open.spotify.com/track/3QxoLFMvi7PUthxFV1dyJh","1","5","2","92733","73.167","4","8","1","0.544","0.169","0.313","0.955","0.171","-12.279","0.0405","0.0357"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","騎士の誇り","https://open.spotify.com/track/4kzkVamIqfLJG34muPD4z0","1","6","2","129560","94.021","4","8","1","0.929","0.385","0.358","0.868","0.104","-10.478","0.0323","0.144"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","木漏れ日の中で","https://open.spotify.com/track/4DC023hEWjHcDVgXxF4LhS","1","7","2","86040","149.888","4","7","1","0.729","0.307","0.246","0.904","0.13","-13.126","0.0374","0.2"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","荒ぶる魂","https://open.spotify.com/track/7uEH3HY9X0RO0kV90pnhvP","1","8","3","136427","152.118","4","8","1","0.686","0.43","0.502","0.91","0.301","-9.877","0.0696","0.478"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","成果発表!","https://open.spotify.com/track/6JprCHTPDBBLTUYRzNnG1S","1","9","2","63040","138.332","4","9","1","4.58e-05","0.448","0.776","0.849","0.432","-8.912","0.0337","0.551"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","ビネ・デル・ゼクセ","https://open.spotify.com/track/54uKdn0gvbghnYiz38f8Ak","1","10","3","199293","183.955","3","4","1","0.0795","0.36","0.308","0.000291","0.261","-12.269","0.0359","0.32"
