"id","アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"1","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","平原と空 ～シトロ平原BGM～","https://open.spotify.com/track/1XsJvVV8Uy0Scg1PhI9Jq6","1","1","5","249053","105.981","4","9","0","0.195","0.444","0.668","0.00274","0.661","-5.417","0.0314","0.608"
"2","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","辺境の集落 ～シトロ村BGM～","https://open.spotify.com/track/4Xx79HXyJXett6rdjq4K2c","1","2","1","187560","110.012","3","2","1","0.601","0.627","0.916","0.0443","0.175","-5.708","0.0289","0.961"
"3","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","森の鼓動 ～東の丘、フレセリアの森BGM～","https://open.spotify.com/track/5ZSok98MYgPC4Ge7xeItuo","1","3","0","210360","187.919","4","8","0","0.37","0.473","0.353","0.198","0.0687","-9.557","0.0382","0.479"
"4","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","戦闘突入！ ～戦闘BGM～","https://open.spotify.com/track/3qJZJkNDplhYuQ2ZQB5ky4","1","4","2","167107","85.793","5","4","0","0.0247","0.344","0.733","0.471","0.566","-5.302","0.0376","0.317"
"5","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","勝利のポーズ！ ～戦闘勝利BGM～","https://open.spotify.com/track/45pAJgSB0vx2lrYsaKB8lW","1","5","1","44400","137.953","4","4","0","0.0741","0.544","0.666","0.000105","0.38","-6.248","0.0402","0.786"
"6","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","大地の異変 ～世界融合のテーマ～","https://open.spotify.com/track/0Y471Evj3KvFzcX7jkeSzi","1","6","1","63333","109.995","3","1","1","0.433","0.51","0.217","0.0258","0.124","-7.345","0.0307","0.265"
"7","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","強敵出現！ ～エリアボス戦闘BGM～","https://open.spotify.com/track/6MOhoAz4nXMODlICkQEl8T","1","7","2","170507","158.034","4","9","0","0.000308","0.399","0.98","0.853","0.178","-5.758","0.0651","0.754"
"8","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","放浪の隊商 ～ランブル族のテーマ～","https://open.spotify.com/track/0n4W9E7jtNdJwdZuaubQFm","1","8","1","195600","164.984","3","2","1","0.234","0.532","0.697","0.546","0.272","-6.97","0.0326","0.757"
"9","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","世界へ！ ～ワールドマップBGM1～","https://open.spotify.com/track/3ttPSCqEREpTLNOh4gMvzw","1","9","1","172600","160.254","5","2","1","0.552","0.253","0.451","0.287","0.124","-8.596","0.0305","0.535"
"10","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","鉱山の村 ～グレイリッジBGM～","https://open.spotify.com/track/0vAz7U2PuEDpqxipzHV2Gf","1","10","1","163333","110.0","4","11","0","0.0512","0.724","0.857","0.959","0.233","-6.301","0.0362","0.97"
